cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
y7ja97fi,,WHO,Calcium ion binding to calmodulin: binding free energy calculation using the molecular mechanics Poisson-Boltzmann surface area (MM-PBSA) method by incorporating implicit polarization,,,,unk,"Binding of calcium ion to calcium-binding proteins (CBP) triggers a large number of biological processes in a cell. CBP are known to play important roles in various diseases, such as cancer, alzheimer, and neuronal problems. However, the calculation of the binding affinity of calcium ion to CBP still possesses a significant challenge to the computational investigators. One of the main reasons for this difficulty is the polarization of CBP due to the binding of calcium. In the current work, we have used the implicit polarization method of Leontyev et al. (PCCP, 13.7 (2011): 2613-2626) to calculate the binding free energy of calcium ion binding to calmodulin, an important CBP. We have used the widely used MM-PBSA method to find a good protocol of calculation with implicit polarization. We have also optimized the best value of the calcium radius to match the experimental results. Our results show incorporation of polarization improves the agreement between the calculated and experimental results, although still, some discrepancy remains. On the whole, this work shows implicit polarization when combined with the MM-PBSA method can give results better than calculation without any polarization, and further improvement is necessary to get a quantitative match with experiments. Communicated by Ramaswamy H. Sarma.",2020,"Basit, Abdul; Mishra, Rakesh Kumar; Bandyopadhyay, Pradipta",J Biomol Struct Dyn,,#727756,,,,,221308562.0
gbs3mb9r,,WHO,Gastrointestinal effects of an attempt to avoid contracting COVID-19 by 'disinfection',,,,unk,,2020,"Binder, Lukas; Högenauer, Christoph; Langner, Cord",Histopathology,,#642800,,,,,221813815.0
0jiaevmw,,WHO,University Students' Persistence with Technology-Mediated Distance Education: A Response to COVID-19 and Beyond in Zimbabwe,,,,unk,"Technology-mediated distance education (TDE) has become part of the new normal in the range of teaching strategies used in universities in Zimbabwe. Contemporary literature abounds with studies that highlight challenges associated with access to education in universities, yet very little is highlighted about how TDE can be used to enhance access to education in Zimbabwean universities during the COVID-19 era and beyond. The purpose of this study was therefore to investigate determinants of students' behavioural intentions to persist with TDE in universities in Zimbabwe during COVID-19 and beyond. The study employed a quantitative approach that used a self-constructed structured questionnaire for data collection from a sample of 1,300 distance learning students selected from five universities using a stratified random sampling strategy. Structural equation modelling using IBM SPSS Amos 22 was used for data analysis. Results of the study show that cultural and norms issues (beta=.325;p<.001) and characteristics of the students (beta=.329;p<.001), the lecturer (beta=.362;p<.001), the institution (beta=.427;p<.001), and external stakeholders (beta=.279;p<.001) were all significantly associated with the behavioural intentions of university students to persist with TDE. Results of this study have implications for both policy and practice with regard to implementing TDE in universities.",2021,"Rudhumbu, N.",International Review of Research in Open and Distributed Learning,,#covidwho-1576239,,,,,244683318.0
th80oiuu,3a0c01afa8722a6f19429c7891f323e1f34b03e5,Medline; PMC,"Authors’ Reply to: Tocilizumab, Adipokines and Severe Complications of COVID-19",10.1007/s40261-020-00948-w,PMC7357256,32661911.0,no-cc,,2020-07-13,"Liu, Bin; Qi, Zhigang",Clin Drug Investig,,,,document_parses/pdf_json/3a0c01afa8722a6f19429c7891f323e1f34b03e5.json,document_parses/pmc_json/PMC7357256.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/32661911/; https://doi.org/10.1007/s40261-020-00948-w,220497064.0
kf2qnhd0,55df5b0e2270ace956aaaa7a065dea47c5922a32,PMC,Successive changes in the ultrastructure ofOryza sativa L. cells during growth and aging,10.1007/bf01281438,PMC7102070,,no-cc,"The ultrastructure ofOryza sativa L. cells in suspension was determined as cells developed, matured and senesced at 3, 10, and 17 days, respectively, after transfer to fresh medium. Although cultures of 3-day-old cells contained some senescent cells, the symptoms of cell aging were very conspicuous at 10 days and were most pronounced at 17 days. The amount of cytoplasm decreased as the number of lytic areas, myelin figures and vesicle bodies increased. Other noticeable subcellular changes observed were ultrastructural modifications of mitochondria, proplastids, amyloplasts, and nuclei. Such changes were associated with a general deterioration of the lipoprotein complex of the cell during its growth. A fibrous structure without an external membrane was observed and its reported for the first time for cells grown in suspension culture.",1979,"Brezeanu, Aurelia; Davis, D. G.",Protoplasma,,,,document_parses/pdf_json/55df5b0e2270ace956aaaa7a065dea47c5922a32.json,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7102070/,
bxr2pkm9,2abe82dfebe721e4d1809bdc9a9d0f38019d1be3; 9c32a16c77c0b206b4f8fb395a99f5ae50fa052b,Elsevier; Medline; PMC,COVID-19: Global radiation oncology’s targeted response for pandemic preparedness,10.1016/j.ctro.2020.03.009,PMC7102593,32274425,no-cc,"As the global COVID-19 pandemic escalates there is a need within radiation oncology to work to support our patients in the best way possible. Measures are required to reduce infection spread between patients and within the workforce. Departments need contingency planning to create capacity and continue essential treatments despite a reduced workforce. The #radonc community held an urgent online journal club on Twitter in March 2020 to discuss these issues and create some consensus on crucial next steps. There were 121 global contributors. This document summarises these discussions around themes of infection prevention, rationalisation of workload and working practice in the presence of infection.",2020-03-24,"Simcock, Richard; Thomas, Toms Vengaloor; Estes, Christopher; Filippi, Andrea R.; Katz, Matthew S.; Pereira, Ian J.; Saeed, Hina",Clin Transl Radiat Oncol,,,,document_parses/pdf_json/2abe82dfebe721e4d1809bdc9a9d0f38019d1be3.json; document_parses/pdf_json/9c32a16c77c0b206b4f8fb395a99f5ae50fa052b.json,document_parses/pmc_json/PMC7102593.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/32274425/; https://doi.org/10.1016/j.ctro.2020.03.009; https://api.elsevier.com/content/article/pii/S2405630820300227; https://www.sciencedirect.com/science/article/pii/S2405630820300227,214729920.0
kjcajqq1,5a5c24c3bcd662f89c24559e2c890ba82298821e,Medline; PMC,Differential blood leukocyte populations based on individual variances and age,10.1007/s12026-021-09257-6,PMC8754550,35023048.0,no-cc,"Blood was collected from the New York State Department of Health (NYSDOH) employees to assess variances in leukocyte numbers in January, May, and September throughout a year and over many years. Women and men of ages 20 to 80 volunteered to donate for this program. Most of the blood came from healthy individuals, and many remained healthy throughout the years of their blood donations. The major objective was to determine the extent that blood leukocyte numbers change so that transient vs more lingering changes may be helpful in assessing health status. Since some donors remained in the program for 14 years, age influences over time could be determined. Within a short period of 2–3 years, the flow cytometric immunophenotypic profile of blood lymphocyte is relatively stable with a CV% of < 20%. However, as humans age, the blood CD3(+) T cell, CD8(+) T cell, B cell, NKT cell, and CD4(−)/CD8(−) double-negative T cell (DN-T cell) subsets declined in cell numbers/μL, but the double-positive CD4(+)/CD8(+) T cells (DP-T cells) increased in numbers. The extent and chronology of a variance, e.g., a subset exceeding its 75th or 90th percentile, might be indicative of a transient or chronic physiological or psychosocial stress affecting health or a developing pathology; however, because of the wide ranges of cell numbers/μL for each subset among individuals reported as healthy, everyone’s immunity and health must be carefully evaluated. A CD4 to CD8 ratio (4/8R) of < 1 has been used to define an immunodeficiency such as HIV-induced AIDS, but a high 4/8R is less well associated with health status. A high 4/8R or granulocyte to lymphocyte ratio (GLR) might be an indicator of a stress, infection, or immune-related pathology. Sporadic and longitudinal increases of GLRs are reported. The results suggest that there are some age and sex differences in leukocyte numbers; stress influences on the blood profile of leukocytes likely exist. However, some values exceeding 2 standard deviations from means do not necessarily predict a health concern, whereas a longitudinal increase or decline might be indicative of a need for further evaluations.",2022-01-13,"Kasten-Jolly, Jane; Lawrence, David A.",Immunol Res,,,,document_parses/pdf_json/5a5c24c3bcd662f89c24559e2c890ba82298821e.json,document_parses/pmc_json/PMC8754550.xml.json,https://doi.org/10.1007/s12026-021-09257-6; https://www.ncbi.nlm.nih.gov/pubmed/35023048/,245932666.0
5g8rvlke,,Medline; PMC; WHO,Correction to: Ethnic and minority group differences in engagement with COVID-19 vaccination programmes – at Pandemic Pace; when vaccine confidence in mass rollout meets local vaccine hesitancy,10.1186/s13584-021-00470-0,PMC8552423,34711277.0,cc-by,,2021-10-28,"Reid, John A.; Mabhala, Mzwandile A.",Isr J Health Policy Res,,,,,document_parses/pmc_json/PMC8552423.xml.json,https://doi.org/10.1186/s13584-021-00470-0; https://www.ncbi.nlm.nih.gov/pubmed/34711277/,240076184.0
scb07lhk,,WHO,Willingness to participate in COVID-19 vaccine trials; a survey among a population of healthcare workers in Uganda,,,,unk,"BACKGROUND: Healthcare workers (HCWs) are at high risk of acquiring SARS-CoV-2 and COVID-19 and may therefore be a suitable population for COVID-19 vaccine trials. We conducted a survey to evaluate willingness-to-participate in COVID-19 vaccine trials in a population of HCWs at three hospitals in Uganda. METHODS: The survey was conducted between September and November 2020. Using a standardised questionnaire, data were collected on socio-demographics, previous participation in health research, COVID-19 information sources, underlying health conditions, and willingness-to-participate in COVID-19 vaccine trials. Data were analysed descriptively and a binomial generalised linear model with a log link function used to investigate factors associated with unwillingness to participate. RESULTS: 657 HCWs (female, 63%) were enrolled with a mean age of 33 years (Standard Deviation, 10). Overall willingness-to-participate was 70.2%. Key motivating factors for participation were: hope of being protected against COVID-19 (81.1%), altruism (73.3%), and the opportunity to get health care (26.0%). Selected hypothetical trial attributes reduced willingness-to-participate as follows: weekly-quarterly study visits over a 12-month period (70.2%-63.2%, P = 0.026); provision of approximately 50ml of blood at each study visit (70.2%-63.2%, P = 0.026); risk of mild-moderate local adverse reactions (70.2%-60.3%, P<0.001); chance of receiving candidate vaccine or placebo (70.2%-56.9%, P<0.001); and delay of pregnancy [Overall, 70.2%-57.1% P<0.001); Female, 62.8%-48.4% (P = 0.002); Male, 82.5%-71.5% (P = 0.003)]. Collectively, these attributes reduced willingness-to-participate from [70.2%-42.2% (P<0.001) overall; 82.5%-58.1% (P<0.001) in men; 62.8%-32.6% (P<0.001) in women]. Among individuals that were unwilling to participate, the commonest barriers were concerns over vaccine safety (54.6%) and fear of catching SARS-CoV-2 (31.6%). Unwillingness to participate was associated with being female (aRR 1.97, CI 1.46-2.67, P<0.001) and having university or other higher-level education (aRR 1.52, CI 1.05-2.2, P = 0.026). CONCLUSIONS: Willingness-to-participate in COVID-19 vaccine trials among HCWs in Uganda is high but may be affected by vaccine trial requirements and concerns about the safety of candidate vaccines.",2021,"Kitonsa, Jonathan; Kamacooko, Onesmus; Bahemuka, Ubaldo Mushabe; Kibengo, Freddie; Kakande, Ayoub; Wajja, Anne; Basajja, Vincent; Lumala, Alfred; Ssemwanga, Edward; Asaba, Robert; Mugisha, Joseph; Pierce, Benjamin F; Shattock, Robin; Kaleebu, Pontiano; Ruzagira, Eugene",PLoS One,,#covidwho-1247651,,,,,235230965.0
hcp6zp79,f6523e8524b53c966deed0deb11ae973a531ce09,Medline; PMC; WHO,Dexamethasone ameliorates severe pneumonia but slightly enhances viral replication in the lungs of SARS-CoV-2-infected Syrian hamsters,10.1038/s41423-021-00793-7,PMC8727236,34983948.0,cc-by,,2022-01-05,"Yuan, Lunzhi; Zhou, Ming; Ma, Jian; Liu, Xuan; Chen, Peiwen; Zhu, Huachen; Tang, Qiyi; Cheng, Tong; Guan, Yi; Xia, Ningshao",Cell Mol Immunol,,,,document_parses/pdf_json/f6523e8524b53c966deed0deb11ae973a531ce09.json,,https://www.ncbi.nlm.nih.gov/pubmed/34983948/; https://doi.org/10.1038/s41423-021-00793-7,245673463.0
